date,temp_avg,temp_max,temp_min,precip_sum,station,de_martonne,aridity_class,aridity_code,spi3,dm_lag1,dm_lag2,dm_lag3,precip_roll3,temp_roll3,dm_roll3,dm_roll12,month,year,year_trend,month_sin,month_cos,wet_season
2019-02-01,6.73,19.44,-3.24,59.4,Ammik,42.606096832038254,Humid,4,0.056394803412043636,112.0,75.4817275747508,31.32867132867133,105.26666666666667,6.696666666666669,76.69594146892969,26.4824826100476,2,2019,4,0.8660254037844386,0.5000000000000001,1
2019-03-01,8.55,23.03,-2.11,27.6,Ammik,17.854447439353102,Semi-arid,2,-0.07492820067236214,42.606096832038254,112.0,75.4817275747508,76.60000000000001,6.860000000000002,57.48684809046378,27.634960467416466,3,2019,4,1.0,6.123233995736766e-17,1
2019-04-01,11.36,29.87,-0.03,27.2,Ammik,15.280898876404494,Semi-arid,2,-0.2514507503486099,17.854447439353102,42.606096832038254,112.0,38.06666666666667,8.880000000000003,25.247147715931945,28.067432570663055,4,2019,4,0.8660254037844387,-0.4999999999999998,1
2019-05-01,19.2,38.55,2.0,0.4,Ammik,0.16438356164383564,Hyper-arid,0,-0.3415444391972139,15.280898876404494,17.854447439353102,42.606096832038254,18.400000000000002,13.036666666666667,11.099909959133806,27.41287344423679,5,2019,4,0.49999999999999994,-0.8660254037844387,1
2019-06-01,22.47,40.02,9.32,0.0,Ammik,0.0,Hyper-arid,0,-0.38368996143825573,0.16438356164383564,15.280898876404494,17.854447439353102,9.2,17.676666666666666,5.148427479349439,27.173276975132126,6,2019,4,1.2246467991473532e-16,-1.0,0
2019-07-01,23.13,38.39,9.54,0.0,Ammik,0.0,Hyper-arid,0,-0.4252246790091376,0.0,0.16438356164383564,15.280898876404494,0.13333333333333333,21.599999999999998,0.05479452054794048,27.115689874642637,7,2019,4,-0.4999999999999997,-0.8660254037844388,0
2019-08-01,23.14,38.36,9.19,0.0,Ammik,0.0,Hyper-arid,0,-0.4258354836792976,0.0,0.0,0.16438356164383564,0.0,22.91333333333333,0.0,27.115689874642637,8,2019,4,-0.8660254037844385,-0.5000000000000004,0
2019-09-01,20.58,37.11,6.36,0.0,Ammik,0.0,Hyper-arid,0,-0.4258354836792976,0.0,0.0,0.0,0.0,22.28333333333333,0.0,27.115689874642637,9,2019,4,-1.0,-1.8369701987210297e-16,0
2019-10-01,17.13,33.65,5.09,44.2,Ammik,19.55031330630299,Semi-arid,2,-0.3583415676266146,0.0,0.0,0.0,14.733333333333334,20.283333333333335,6.516771102100992,26.188878243263733,10,2019,4,-0.8660254037844386,0.5000000000000001,1
2019-11-01,11.39,26.21,-3.45,23.4,Ammik,13.127629733520335,Semi-arid,2,-0.32260949442225306,19.55031330630299,0.0,0.0,22.53333333333333,16.366666666666667,10.892647679941104,24.672124777001155,11,2019,4,-0.5000000000000004,0.8660254037844384,1
2019-12-01,6.08,20.95,-4.39,193.4,Ammik,144.32835820895525,Humid,4,-0.02728543639988006,13.127629733520335,19.55031330630299,0.0,87.0,11.533333333333333,59.002100416259516,30.409343996518185,12,2019,4,-2.4492935982947064e-16,1.0,1
2020-01-01,4.76,16.04,-3.72,222.2,Ammik,180.65040650406502,Humid,4,0.24452264182133188,144.32835820895525,13.127629733520335,19.55031330630299,146.33333333333334,7.410000000000001,112.70213148218018,36.13021120519027,1,2020,5,0.49999999999999994,0.8660254037844387,1
2020-02-01,6.31,21.65,-4.72,118.0,Ammik,86.81790312691601,Humid,4,0.3889779463141781,180.65040650406502,144.32835820895525,13.127629733520335,177.86666666666665,5.716666666666668,137.26555594664543,39.814528396430084,2,2020,5,0.8660254037844386,0.5000000000000001,1
2020-03-01,10.11,25.19,-1.35,77.8,Ammik,46.42466434609646,Humid,4,0.21245539663793048,86.81790312691601,180.65040650406502,144.32835820895525,139.33333333333334,7.06,104.63099132569249,42.195379805325366,3,2020,5,1.0,6.123233995736766e-17,1
2020-04-01,12.41,29.51,-0.53,70.0,Ammik,37.48326639892905,Humid,4,-0.01995578035795972,46.42466434609646,86.81790312691601,180.65040650406502,88.60000000000001,9.610000000000001,56.908611290647166,44.045577098869074,4,2020,5,0.8660254037844387,-0.4999999999999998,1
2020-05-01,17.05,35.97,2.01,29.0,Ammik,12.865064695009242,Semi-arid,2,-0.1558598194685657,37.48326639892905,46.42466434609646,86.81790312691601,58.93333333333334,13.19,32.25766514667824,45.1039671933162,5,2020,5,0.49999999999999994,-0.8660254037844387,1
2020-06-01,20.18,37.22,3.77,0.2,Ammik,0.07952286282306165,Hyper-arid,0,-0.2743559254796109,12.865064695009242,37.48326639892905,46.42466434609646,33.06666666666667,16.546666666666667,16.809284652253773,45.110594098551445,6,2020,5,1.2246467991473532e-16,-1.0,0
